house_id,area_sqft,bedrooms,bathrooms,age_years,year_built,condition_score,garage_cars,parking_spots,furnishing_status,location,floor_number,total_floors,price,price_per_sqft,rooms_per_bath,age_category
15,938.0,3,2.6,21,2003,3,2,0,Semi-Furnished,Greenfield,8,1,409500.0,436.56716417910445,1.1538461538461537,Moderate
16,1519.0,4,3.0,17,2007,3,1,2,Semi-Furnished,Lakeside,0,2,490200.0,322.7123107307439,1.3333333333333333,Moderate
17,1294.0,4,3.0,37,1987,2,1,0,Unfurnished,Riverside,7,2,386000.0,298.2998454404946,1.3333333333333333,Old
18,1957.0,3,2.2,82,1942,1,2,0,Semi-Furnished,Greenfield,3,1,297300.0,151.9161982626469,1.3636363636363635,Very Old
19,1346.0,3,2.1,93,1931,1,0,1,Unfurnished,Suburb_B,8,3,200000.0,148.5884101040119,1.4285714285714286,Very Old
20,1094.0,3,2.9,39,1985,2,1,1,Fully Furnished,OldTown,7,4,269500.0,246.3436928702011,1.0344827586206897,Old
21,2533.0,4,3.5,70,1954,1,2,1,Semi-Furnished,Lakeside,8,2,667700.0,263.6004737465456,1.1428571428571428,Very Old
22,1687.0,3,2.4,31,1993,1,1,0,Unfurnished,Lakeside,6,2,387700.0,229.81624184943686,1.25,Old
23,1834.0,2,2.0,12,2012,4,1,1,Unfurnished,Downtown,7,3,774600.0,422.35550708833154,1.0,Recent
24,1088.0,2,1.1,31,1993,3,1,0,Fully Furnished,Southside,0,3,252400.0,231.98529411764707,1.8181818181818181,Old
25,1528.0,3,2.0,33,1991,2,1,2,Semi-Furnished,OldTown,0,2,222300.0,145.48429319371726,1.5,Old
26,1855.0,3,1.7,52,1972,1,0,2,Semi-Furnished,Greenfield,0,3,510545.8865777724,139.29919137466308,1.7647058823529411,Very Old
27,1225.0,4,3.0,13,2011,4,2,2,Semi-Furnished,Downtown,6,3,810800.0,661.8775510204082,1.3333333333333333,Recent
28,1988.0,2,1.6,22,2002,3,1,2,Fully Furnished,Riverside,0,1,605100.0,304.37625754527164,1.25,Moderate
29,1500.0,3,2.4,21,2003,3,1,0,Fully Furnished,Riverside,0,2,516500.0,344.3333333333333,1.25,Moderate
30,1654.0,4,3.2,92,1932,1,1,0,Unfurnished,Northside,8,1,439600.0,265.77992744860944,1.25,Very Old
31,1499.0,4,2.8,26,1998,3,0,3,Unfurnished,Southside,6,5,331600.0,221.21414276184123,1.4285714285714286,Moderate
32,2726.0,3,2.6,55,1969,1,0,3,Semi-Furnished,Suburb_A,8,1,663100.0,243.25018341892883,1.1538461538461537,Very Old
33,1793.0,3,2.5,54,1970,1,1,0,Unfurnished,Riverside,0,1,244100.0,136.14054656999443,1.2,Very Old
34,1271.0,3,2.6,15,2009,3,1,0,Fully Furnished,Southside,2,2,344100.0,270.7317073170732,1.1538461538461537,Recent
35,2211.0,5,3.4,34,1990,2,1,1,Semi-Furnished,Suburb_B,0,4,426200.0,192.7634554500226,1.4705882352941178,Old
36,1190.0,2,1.7,80,1944,1,2,1,Unfurnished,Southside,0,2,170500.0,143.27731092436974,1.1764705882352942,Very Old
37,1904.0,5,3.6,28,1996,3,1,0,Unfurnished,Lakeside,0,3,519000.0,272.5840336134454,1.3888888888888888,Moderate
38,820.0,3,2.3,89,1935,1,1,0,Semi-Furnished,Greenfield,1,3,140200.0,170.97560975609755,1.3043478260869565,Very Old
39,1136.0,3,2.6,12,2012,4,1,1,Unfurnished,Lakeside,0,3,498000.0,438.38028169014086,1.1538461538461537,Recent
40,1898.0,1,1.0,4,2020,5,2,0,Semi-Furnished,Lakeside,4,4,854100.0,450.0,1.0,New
41,2169.0,3,2.1,80,1944,1,0,3,Unfurnished,Riverside,1,1,385800.0,177.86998616874135,1.4285714285714286,Very Old
42,1886.0,3,2.4,72,1952,1,2,0,Semi-Furnished,Northside,0,5,325100.0,172.37539766702014,1.25,Very Old
43,1742.0,2,1.1,98,1926,1,1,1,Unfurnished,Hillview,6,4,284200.0,163.14580941446613,1.8181818181818181,Very Old
44,1649.0,3,2.7,41,1983,2,0,2,Fully Furnished,Southside,6,5,367300.0,222.74105518496057,1.111111111111111,Old
45,1061.0,5,3.9,88,1936,1,1,0,Semi-Furnished,Hillview,7,3,332200.0,313.1008482563619,1.2820512820512822,Very Old
46,1440.0,3,2.7,68,1956,1,1,1,Semi-Furnished,Hillview,3,4,214100.0,148.68055555555554,1.111111111111111,Very Old
47,1570.0,4,3.0,71,1953,1,1,1,Semi-Furnished,Hillview,9,1,537300.0,342.22929936305735,1.3333333333333333,Very Old
48,2329.0,2,1.4,34,1990,2,1,2,Semi-Furnished,Downtown,8,2,846100.0,363.28896522112495,1.4285714285714286,Old
49,1972.0,3,2.2,22,2002,3,1,1,Unfurnished,Hillview,4,2,502500.0,254.81744421906694,1.3636363636363635,Moderate
50,918.0,2,1.9,88,1936,2,1,0,Unfurnished,Riverside,2,1,241800.0,263.39869281045753,1.0526315789473684,Very Old
51,1962.0,3,2.2,26,1998,3,1,0,Fully Furnished,Suburb_A,0,3,454200.0,231.49847094801223,1.3636363636363635,Moderate
52,1607.0,5,4.2,32,1992,2,2,0,Unfurnished,Hillview,6,1,620500.0,386.1232109520846,1.1904761904761905,Old
53,1462.0,3,2.3,26,1998,3,2,0,Fully Furnished,Downtown,4,1,650100.0,444.66484268125856,1.3043478260869565,Moderate
54,2106.0,2,1.0,34,1990,1,1,1,Semi-Furnished,Downtown,9,3,632700.0,300.4273504273504,2.0,Old
55,2315.0,3,2.2,28,1996,3,2,2,Unfurnished,Lakeside,4,5,728600.0,314.7300215982721,1.3636363636363635,Moderate
56,2266.0,3,2.0,2,2022,5,0,1,Fully Furnished,Hillview,9,3,1448400.0,639.1879964695498,1.5,New
57,1380.0,3,2.4,78,1946,1,0,3,Unfurnished,Suburb_A,8,4,200300.0,145.14492753623188,1.25,Very Old
58,1645.0,4,2.8,26,1998,3,1,1,Unfurnished,Southside,9,2,616100.0,374.5288753799392,1.4285714285714286,Moderate
59,1966.0,4,3.5,35,1989,2,1,2,Semi-Furnished,OldTown,1,4,319200.0,162.36012207527975,1.1428571428571428,Old
60,2288.0,3,2.4,8,2016,4,1,0,Semi-Furnished,Riverside,0,2,982600.0,429.458041958042,1.25,Recent
61,1560.0,3,2.3,0,2024,5,1,1,Semi-Furnished,Riverside,7,5,883600.0,566.4102564102565,1.3043478260869565,New
62,1707.0,2,1.8,14,2010,4,0,2,Unfurnished,Southside,7,1,624800.0,366.02226127709434,1.1111111111111112,Recent
63,1247.0,2,1.9,45,1979,2,0,2,Fully Furnished,Lakeside,0,4,328700.0,263.5926222935044,1.0526315789473684,Old
64,1202.0,3,2.4,5,2019,4,2,0,Semi-Furnished,Southside,6,3,575700.0,478.9517470881864,1.25,New
65,2206.0,3,2.2,83,1941,1,2,2,Fully Furnished,Riverside,4,2,520800.0,236.08340888485947,1.3636363636363635,Very Old
66,2478.0,3,1.9,12,2012,3,1,1,Fully Furnished,Lakeside,0,3,928800.0,374.818401937046,1.5789473684210527,Recent
67,1764.0,3,2.2,12,2012,3,1,0,Unfurnished,Southside,3,4,444500.0,251.984126984127,1.3636363636363635,Recent
68,2302.0,2,1.4,10,2014,4,1,1,Semi-Furnished,Suburb_B,9,4,604300.0,262.51086012163336,1.4285714285714286,Recent
69,1981.0,3,2.4,0,2024,5,1,1,Unfurnished,OldTown,3,1,851200.0,429.68197879858656,1.25,New
70,1477.0,2,1.5,58,1966,1,1,1,Semi-Furnished,Hillview,7,1,409300.0,277.11577522004063,1.3333333333333333,Very Old
71,1981.0,2,1.8,77,1947,1,1,0,Semi-Furnished,OldTown,0,1,192400.0,97.12266532054518,1.1111111111111112,Very Old
72,2569.0,4,3.0,37,1987,2,1,0,Fully Furnished,Lakeside,6,1,910200.0,354.3012845465162,1.3333333333333333,Old
73,1782.0,1,1.0,11,2013,4,0,2,Unfurnished,Greenfield,9,1,814400.0,457.0145903479237,1.0,Recent
74,2582.0,3,2.8,17,2007,3,1,1,Fully Furnished,Southside,3,3,705700.0,273.3152594887684,1.0714285714285714,Moderate
75,600.0,2,1.7,28,1996,4,2,2,Semi-Furnished,Greenfield,1,2,197000.0,328.3333333333333,1.1764705882352942,Moderate
76,2211.0,4,3.2,91,1933,1,1,0,Semi-Furnished,Hillview,5,3,432300.0,195.52238805970148,1.25,Very Old
77,1844.0,3,2.2,14,2010,4,1,2,Semi-Furnished,Southside,8,2,726300.0,393.87201735357917,1.3636363636363635,Recent
78,1650.0,2,1.4,50,1974,1,2,0,Semi-Furnished,Riverside,0,2,294700.0,178.6060606060606,1.4285714285714286,Old
79,1846.0,3,2.1,26,1998,3,0,2,Semi-Furnished,Hillview,2,1,597900.0,323.88949079089923,1.4285714285714286,Moderate
80,806.0,4,3.0,17,2007,3,1,2,Fully Furnished,Northside,0,3,375000.0,465.2605459057072,1.3333333333333333,Moderate
81,1690.0,5,4.2,27,1997,3,1,1,Semi-Furnished,Riverside,3,3,725500.0,429.2899408284024,1.1904761904761905,Moderate
82,1979.0,2,1.5,4,2020,5,1,0,Unfurnished,Hillview,3,2,1028800.0,519.8585144012127,1.3333333333333333,New
83,2539.0,4,2.8,63,1961,1,2,0,Semi-Furnished,Hillview,9,2,705500.0,277.8653012997243,1.4285714285714286,Very Old
84,1541.0,5,4.5,14,2010,4,1,1,Fully Furnished,Suburb_B,2,1,605200.0,392.7319922128488,1.1111111111111112,Recent
85,1396.0,5,4.1,49,1975,2,0,3,Semi-Furnished,Riverside,4,4,433100.0,310.243553008596,1.2195121951219514,Old
86,1549.0,3,2.0,3,2021,4,0,2,Fully Furnished,Suburb_B,8,3,701500.0,452.8728211749516,1.5,New
87,2258.0,3,2.3,91,1933,1,0,3,Fully Furnished,Suburb_B,0,3,236700.0,104.82728077945085,1.3043478260869565,Very Old
88,1964.0,3,2.4,11,2013,4,1,2,Semi-Furnished,Southside,5,1,802900.0,408.8085539714868,1.25,Recent
89,1535.0,4,3.7,78,1946,1,2,1,Semi-Furnished,Riverside,6,1,474900.0,309.38110749185665,1.081081081081081,Very Old
90,2057.0,3,2.1,65,1959,1,1,2,Fully Furnished,Riverside,1,1,438800.0,213.3203694701021,1.4285714285714286,Very Old
91,1849.0,3,2.7,94,1930,2,1,0,Semi-Furnished,Hillview,0,1,411700.0,222.66089778258518,1.111111111111111,Very Old
92,2284.0,3,2.8,28,1996,3,1,2,Unfurnished,Riverside,3,1,735000.0,321.80385288966727,1.0714285714285714,Moderate
93,1449.0,4,3.0,50,1974,1,1,0,Unfurnished,Hillview,1,1,301100.0,207.7984817115252,1.3333333333333333,Old
94,1636.0,4,3.1,22,2002,3,1,2,Unfurnished,Suburb_A,0,2,311200.0,190.2200488997555,1.2903225806451613,Moderate
95,1604.0,2,1.3,10,2014,5,1,0,Fully Furnished,Riverside,9,2,1011400.0,630.5486284289277,1.5384615384615383,Recent
96,1068.0,4,3.1,26,1998,3,1,1,Fully Furnished,Suburb_A,3,2,325700.0,304.9625468164794,1.2903225806451613,Moderate
97,1948.0,3,2.4,9,2015,4,1,1,Unfurnished,OldTown,8,2,728600.0,374.0246406570842,1.25,Recent
98,1931.0,4,3.4,96,1928,1,1,2,Fully Furnished,Northside,0,3,325100.0,168.35836354220612,1.1764705882352942,Very Old
99,1803.0,3,2.7,5,2019,4,2,1,Fully Furnished,Greenfield,9,3,762300.0,422.79534109816973,1.111111111111111,New
100,1683.0,3,2.2,35,1989,2,1,0,Semi-Furnished,Hillview,7,1,601700.0,357.51633986928107,1.3636363636363635,Old
101,1092.0,5,3.4,37,1987,2,1,1,Fully Furnished,OldTown,7,4,243500.0,222.98534798534797,1.4705882352941178,Old
102,1590.0,2,1.6,32,1992,2,1,0,Unfurnished,Riverside,1,5,336300.0,211.50943396226415,1.25,Old
103,1629.0,4,3.3,40,1984,3,0,2,Unfurnished,Southside,3,2,400300.0,245.73357888275015,1.2121212121212122,Old
104,1399.0,3,2.5,6,2018,4,1,0,Unfurnished,Suburb_A,4,1,561500.0,401.35811293781273,1.2,Recent
105,1719.0,3,2.3,33,1991,2,1,0,Unfurnished,Riverside,7,4,524300.0,305.0029086678301,1.3043478260869565,Old
106,2002.0,3,2.4,17,2007,3,0,1,Fully Furnished,Lakeside,7,5,744400.0,371.82817182817183,1.25,Moderate
107,2743.0,3,2.9,89,1935,1,2,2,Unfurnished,Northside,0,1,417300.0,152.13270142180096,1.0344827586206897,Very Old
108,1887.0,3,2.5,56,1968,1,0,1,Semi-Furnished,Lakeside,8,1,626800.0,332.1674615792263,1.2,Very Old
109,1929.0,1,1.0,94,1930,1,1,0,Semi-Furnished,Northside,9,4,329900.0,171.02125453602903,1.0,Very Old
110,1763.0,2,1.4,1,2023,5,0,3,Fully Furnished,Northside,4,2,841200.0,477.14123652864436,1.4285714285714286,New
111,1377.9611194303898,1,1.0,17,2007,3,0,1,Unfurnished,OldTown,0,5,149300.0,177.52675386444707,1.0,Moderate
112,1787.0,5,4.5,11,2013,4,2,0,Unfurnished,Lakeside,7,1,1277000.0,714.6054840514829,1.1111111111111112,Recent
113,1830.0,5,3.9,0,2024,5,2,0,Fully Furnished,Suburb_A,4,4,840500.0,459.2896174863388,1.2820512820512822,New
114,3032.0,4,3.2,14,2010,3,2,0,Fully Furnished,Lakeside,7,1,1888100.0,622.7242744063325,1.25,Recent
115,1704.0,4,3.1,41,1983,2,1,1,Fully Furnished,Downtown,7,1,881300.0,517.1948356807512,1.2903225806451613,Old
116,1951.0,3,2.7,13,2011,4,1,1,Semi-Furnished,OldTown,0,5,381500.0,195.54074833418758,1.111111111111111,Recent
117,1783.0,3,3.0,30,1994,2,1,1,Fully Furnished,Suburb_A,4,1,453200.0,254.17835109366237,1.0,Moderate
118,1216.0,4,3.3,79,1945,1,1,0,Unfurnished,Greenfield,3,1,237100.0,194.98355263157896,1.2121212121212122,Very Old
119,2371.0,5,4.0,43,1981,3,1,1,Semi-Furnished,Suburb_A,9,4,510900.0,215.47870097005483,1.25,Old
120,2176.0,3,2.4,23,2001,4,2,2,Semi-Furnished,Lakeside,0,1,814700.0,374.40257352941177,1.25,Moderate
121,2196.0,4,2.5,22,2002,4,0,1,Unfurnished,Southside,0,1,550500.0,250.6830601092896,1.6,Moderate
122,1345.0,2,1.8,27,1997,3,0,1,Semi-Furnished,Greenfield,8,2,306600.0,227.95539033457248,1.1111111111111112,Moderate
123,2501.0,5,4.0,10,2014,4,2,0,Semi-Furnished,Hillview,0,3,991500.0,396.44142343062776,1.25,Recent
124,1099.0,1,1.0,38,1986,2,1,0,Unfurnished,Lakeside,5,3,289900.0,263.7852593266606,1.0,Old
125,2093.0,3,2.2,21,2003,3,1,1,Unfurnished,Hillview,0,4,441500.0,210.94123268036313,1.3636363636363635,Moderate
126,2895.0,3,2.3,72,1952,1,0,2,Fully Furnished,Suburb_A,4,2,418200.0,144.4559585492228,1.3043478260869565,Very Old
127,1305.0,3,2.3,55,1969,2,1,1,Fully Furnished,Southside,4,2,278500.0,213.40996168582376,1.3043478260869565,Very Old
128,1517.0,2,1.9,36,1988,2,1,0,Fully Furnished,Downtown,2,2,525000.0,346.07778510217537,1.0526315789473684,Old
129,1850.0,5,3.9,21,2003,3,1,1,Semi-Furnished,Downtown,9,4,799300.0,432.05405405405406,1.2820512820512822,Moderate
130,1548.0,2,2.2,12,2012,4,1,0,Fully Furnished,OldTown,0,3,332800.0,214.98708010335918,0.9090909090909091,Recent
131,1025.0,3,2.5,59,1965,2,1,1,Semi-Furnished,Suburb_B,1,5,180100.0,175.70731707317074,1.2,Very Old
132,1834.0,2,1.2,29,1995,3,1,0,Unfurnished,Suburb_B,2,5,326500.0,178.02617230098147,1.6666666666666667,Moderate
133,1269.0,3,2.4,13,2011,4,2,0,Fully Furnished,Northside,5,2,601500.0,473.9952718676123,1.25,Recent
134,2037.0,3,2.2,11,2013,4,1,2,Semi-Furnished,Hillview,2,2,681400.0,334.5115365733922,1.3636363636363635,Recent
135,1340.0,3,1.7,9,2015,4,1,1,Semi-Furnished,Riverside,0,3,539300.0,402.46268656716416,1.7647058823529411,Recent
136,2575.0,2,2.1,59,1965,1,3,0,Semi-Furnished,Riverside,9,1,783400.0,304.2330097087379,0.9523809523809523,Very Old
137,1408.0,2,1.8,13,2011,4,1,1,Semi-Furnished,Greenfield,2,1,477400.0,339.0625,1.1111111111111112,Recent
138,1639.0,3,2.6,31,1993,2,1,1,Unfurnished,Hillview,1,4,320800.0,195.72910311165344,1.1538461538461537,Old
139,2207.0,4,3.2,27,1997,2,2,1,Fully Furnished,Suburb_A,2,2,452200.0,204.8935206162211,1.25,Moderate
140,1185.0,4,2.8,35,1989,2,1,1,Fully Furnished,Northside,0,2,316900.0,267.42616033755274,1.4285714285714286,Old
141,1914.0,2,1.5,77,1947,2,2,2,Semi-Furnished,Suburb_A,0,2,301200.0,157.36677115987462,1.3333333333333333,Very Old
142,4846.125206744534,3,2.7,75,1949,1,2,0,Semi-Furnished,OldTown,0,3,261200.0,106.43846780766096,1.111111111111111,Very Old
143,996.0,2,1.3,27,1997,3,2,0,Fully Furnished,Riverside,0,1,366100.0,367.57028112449797,1.5384615384615383,Moderate
144,1892.0,1,1.0,0,2024,5,1,0,Fully Furnished,Southside,0,3,699400.0,369.661733615222,1.0,New
145,1930.0,3,2.3,25,1999,2,2,1,Semi-Furnished,Downtown,2,2,513100.0,265.85492227979273,1.3043478260869565,Moderate
146,2191.0,3,2.4,36,1988,2,0,2,Semi-Furnished,Downtown,5,4,628100.0,286.67275216795986,1.25,Old
147,1182.0,2,1.6,33,1991,2,0,3,Unfurnished,Northside,5,2,330200.0,279.3570219966159,1.25,Old
148,1140.0,2,1.8,39,1985,2,1,1,Semi-Furnished,Riverside,0,5,322900.0,283.2456140350877,1.1111111111111112,Old
149,2061.0,1,1.0,9,2015,4,2,2,Fully Furnished,Downtown,8,2,1252900.0,607.90878214459,1.0,Recent
150,1948.0,4,3.3,39,1985,2,1,1,Semi-Furnished,Suburb_B,7,5,330500.0,169.6611909650924,1.2121212121212122,Old
151,1925.0,5,4.4,10,2014,4,1,1,Fully Furnished,Suburb_B,9,4,597000.0,310.12987012987014,1.1363636363636362,Recent
152,1973.0,2,1.1,54,1970,1,1,2,Semi-Furnished,Greenfield,1,2,246400.0,124.88596046629499,1.8181818181818181,Very Old
153,1460.0,2,1.8,20,2004,3,1,0,Semi-Furnished,Hillview,5,2,500000.0,342.4657534246575,1.1111111111111112,Moderate
154,1916.0,4,3.4,46,1978,2,1,1,Semi-Furnished,OldTown,0,2,300000.0,156.57620041753654,1.1764705882352942,Old
155,1947.0,5,3.6,2,2022,4,2,1,Unfurnished,Greenfield,7,3,805300.0,413.6106831022085,1.3888888888888888,New
156,1443.0,3,1.9,24,2000,3,2,2,Fully Furnished,Downtown,0,2,576100.0,399.23769923769925,1.5789473684210527,Moderate
157,2733.0,2,1.4,46,1978,1,1,2,Unfurnished,Suburb_B,1,2,262200.0,95.93852908891328,1.4285714285714286,Old
158,2037.0,1,1.0,13,2011,5,1,2,Unfurnished,Northside,3,3,705100.0,346.146293568974,1.0,Recent
159,1204.0,3,2.6,62,1962,1,1,2,Semi-Furnished,Riverside,4,3,286300.0,237.7906976744186,1.1538461538461537,Very Old
160,2128.0,3,2.2,38,1986,2,1,1,Fully Furnished,Suburb_B,4,1,489300.0,229.93421052631578,1.3636363636363635,Old
161,1313.0,1,1.0,35,1989,1,1,0,Fully Furnished,Lakeside,0,1,277700.0,211.5003808073115,1.0,Old
162,2194.0,3,2.2,21,2003,3,0,3,Semi-Furnished,OldTown,2,1,443300.0,202.0510483135825,1.3636363636363635,Moderate
163,2379.0,1,1.1,29,1995,3,2,1,Semi-Furnished,Downtown,8,1,1300000.0,546.448087431694,0.9090909090909091,Moderate
164,1390.0,4,3.2,36,1988,2,1,1,Fully Furnished,Suburb_A,8,2,445400.0,320.431654676259,1.25,Old
165,2282.0,3,2.3,28,1996,3,2,1,Unfurnished,Greenfield,4,4,374400.0,164.06660823838737,1.3043478260869565,Moderate
166,2006.0,1,1.0,44,1980,2,2,1,Fully Furnished,Downtown,4,2,650100.0,324.0777666999003,1.0,Old
167,2211.0,3,2.8,26,1998,3,0,1,Fully Furnished,Lakeside,0,1,578000.0,261.42017186793305,1.0714285714285714,Moderate
168,2748.0,3,2.2,12,2012,4,2,0,Fully Furnished,Southside,0,2,862600.0,313.901018922853,1.3636363636363635,Recent
169,1677.0,5,4.4,12,2012,4,2,2,Fully Furnished,OldTown,0,5,583900.0,348.18127608825284,1.1363636363636362,Recent
170,1423.0,3,2.5,0,2024,5,1,2,Unfurnished,Hillview,3,2,790200.0,555.3056921995784,1.2,New
171,1355.0,2,1.6,18,2006,3,1,1,Semi-Furnished,Suburb_B,6,5,314200.0,231.8819188191882,1.25,Moderate
172,1392.0,4,4.0,54,1970,1,1,1,Fully Furnished,Greenfield,2,1,262400.0,188.50574712643677,1.0,Very Old
173,1761.0,2,1.3,62,1962,1,1,1,Unfurnished,Suburb_B,0,1,194200.0,110.27825099375355,1.5384615384615383,Very Old
174,1971.0,5,3.9,12,2012,4,1,1,Unfurnished,Lakeside,2,3,857800.0,435.2105530187722,1.2820512820512822,Recent
175,1938.0,3,2.0,92,1932,2,0,2,Unfurnished,Greenfield,0,2,261700.0,135.03611971104232,1.5,Very Old
176,2214.0,3,2.7,30,1994,1,1,0,Unfurnished,Suburb_A,6,3,332100.0,150.0,1.111111111111111,Moderate
177,1807.0,2,2.1,84,1940,1,1,0,Semi-Furnished,Southside,0,4,219500.0,121.47205312672939,0.9523809523809523,Very Old
178,2527.0,3,2.9,46,1978,2,2,0,Semi-Furnished,Riverside,3,1,709800.0,280.88642659279776,1.0344827586206897,Old
179,1668.0,4,3.6,49,1975,2,1,0,Semi-Furnished,Suburb_A,5,3,296800.0,177.93764988009593,1.1111111111111112,Old
180,3160.0,5,3.9,4,2020,5,2,0,Fully Furnished,Greenfield,0,3,1247200.0,394.6835443037975,1.2820512820512822,New
181,2113.0,2,1.5,13,2011,4,1,1,Semi-Furnished,Suburb_B,0,4,429500.0,203.26549929010886,1.3333333333333333,Recent
182,1371.0,2,1.1,0,2024,4,0,2,Unfurnished,Northside,4,2,572700.0,417.7242888402626,1.8181818181818181,New
183,1265.0,4,3.8,48,1976,2,2,1,Semi-Furnished,Hillview,0,1,317200.0,250.7509881422925,1.0526315789473684,Old
184,2041.0,5,4.1,20,2004,3,1,2,Unfurnished,Downtown,4,2,820200.0,401.8618324350808,1.2195121951219514,Moderate
185,1688.0,2,1.5,60,1964,1,0,3,Semi-Furnished,Southside,6,5,265000.0,156.99052132701422,1.3333333333333333,Very Old
186,2157.0,3,2.8,20,2004,3,1,1,Semi-Furnished,OldTown,1,1,394800.0,183.03198887343532,1.0714285714285714,Moderate
187,2037.0,3,2.1,66,1958,1,1,1,Semi-Furnished,Greenfield,3,1,307000.0,150.71183112420226,1.4285714285714286,Very Old
188,1764.0,4,3.3,7,2017,4,0,2,Semi-Furnished,Downtown,9,2,1228000.0,696.1451247165533,1.2121212121212122,Recent
189,1377.0,2,1.5,10,2014,4,1,2,Semi-Furnished,Suburb_B,2,3,338300.0,245.679012345679,1.3333333333333333,Recent
190,1043.0,2,1.8,20,2004,3,2,2,Fully Furnished,Suburb_B,9,2,368600.0,353.4036433365292,1.1111111111111112,Moderate
191,1577.0,4,3.2,24,2000,4,2,1,Fully Furnished,Suburb_B,0,1,452700.0,287.0640456563095,1.25,Moderate
192,2228.0,2,1.2,20,2004,3,1,0,Unfurnished,Greenfield,6,3,415700.0,186.57989228007182,1.6666666666666667,Moderate
193,1907.0,3,2.4,56,1968,2,2,1,Fully Furnished,Hillview,5,1,701500.0,367.8552700576822,1.25,Very Old
194,1177.0,3,2.7,5,2019,4,1,0,Semi-Furnished,Suburb_A,8,1,693400.0,589.124893797791,1.111111111111111,New
195,1887.0,3,2.4,21,2003,3,2,0,Semi-Furnished,Lakeside,0,2,491500.0,260.4663487016428,1.25,Moderate
196,1993.0,3,2.6,70,1954,1,0,2,Semi-Furnished,Hillview,0,2,355000.0,178.12343201204214,1.1538461538461537,Very Old
197,1358.0,3,2.1,3,2021,5,1,1,Unfurnished,Suburb_A,0,2,503700.0,370.91310751104567,1.4285714285714286,New
198,1877.0,2,1.6,89,1935,1,1,1,Unfurnished,Downtown,9,1,582900.0,310.54874800213105,1.25,Very Old
199,1829.0,3,2.2,97,1927,1,1,2,Unfurnished,Riverside,2,2,349400.0,191.03335155822853,1.3636363636363635,Very Old
200,1229.0,4,3.4,5,2019,4,2,1,Semi-Furnished,Riverside,8,3,799200.0,650.2847843775427,1.1764705882352942,New
201,1979.0,4,3.2,17,2007,3,1,1,Semi-Furnished,Riverside,0,2,719700.0,363.6685194542698,1.25,Moderate
202,2080.0,2,1.8,22,2002,3,0,1,Unfurnished,Downtown,0,2,530300.0,254.95192307692307,1.1111111111111112,Moderate
203,2342.0,2,1.9,59,1965,1,1,0,Unfurnished,Suburb_B,0,1,262600.0,112.1263877028181,1.0526315789473684,Very Old
204,2327.0,2,1.8,36,1988,2,1,1,Unfurnished,Greenfield,4,1,402900.0,173.1413837559089,1.1111111111111112,Old
205,1111.0,3,2.5,38,1986,2,0,2,Unfurnished,Riverside,7,4,394600.0,355.17551755175515,1.2,Old
206,1331.0,3,2.1,55,1969,1,2,0,Fully Furnished,Suburb_A,1,2,211200.0,158.67768595041323,1.4285714285714286,Very Old
207,2058.0,3,2.4,6,2018,4,2,0,Fully Furnished,OldTown,8,2,711200.0,345.578231292517,1.25,Recent
208,2057.0,2,1.4,69,1955,1,1,1,Unfurnished,Downtown,0,4,397200.0,193.09674282936314,1.4285714285714286,Very Old
209,2058.0,1,1.0,46,1978,2,1,1,Unfurnished,Northside,5,3,349600.0,169.87366375121476,1.0,Old
